strain_id,strain_name,genus,species,taxonomy_confidence,source,is_spore_former,isolation_source,host_plant,region,genome_accession,notes
PBM001,Azospirillum isscasi BD-101,Azospirillum,isscasi,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,GCF_030849505.1,extracted from bacdive dataset dsmz id 175857; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_isscasi__GCF_030849505.1; n_proteins=5816
PBM193,Pseudomonas putida BD-293,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,soil,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 162701; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM194,Pseudomonas oryzihabitans BD-294,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164841; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM195,Pseudomonas oryzihabitans BD-295,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164840; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM196,Pseudomonas oryzihabitans BD-296,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164839; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM197,Pseudomonas oryzihabitans BD-297,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164838; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM198,Pseudomonas oryzihabitans BD-298,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164837; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM199,Pseudomonas oryzihabitans BD-299,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164836; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM200,Pseudomonas oryzihabitans BD-300,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164835; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM201,Pseudomonas oryzihabitans BD-301,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164834; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM202,Pseudomonas oryzihabitans BD-302,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164833; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM203,Pseudomonas oryzihabitans BD-303,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164832; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM204,Pseudomonas oryzihabitans BD-304,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164830; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM205,Pseudomonas oryzihabitans BD-305,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164829; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM206,Pseudomonas akappageensis BD-306,Pseudomonas,akappageensis,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 164624; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM207,Pseudomonas rhizoryzae BD-307,Pseudomonas,rhizoryzae,0.95,BacDive-derived plant-associated strain table,False,soil,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 164481; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM208,Pseudomonas laurentiana BD-308,Pseudomonas,laurentiana,0.95,BacDive-derived plant-associated strain table,False,soil,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 164208; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM209,Pseudomonas aeruginosa BD-309,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,soil,wheat,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 163413; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM210,Pseudomonas glycinae BD-310,Pseudomonas,glycinae,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 166380; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM211,Pseudomonas nitroreducens BD-311,Pseudomonas,nitroreducens,0.95,BacDive-derived plant-associated strain table,False,soil,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 170026; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM212,Pseudomonas crudilactis BD-312,Pseudomonas,crudilactis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_013433315.1,extracted from bacdive dataset dsmz id 169712; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_crudilactis__GCF_013433315.1; n_proteins=5932
PBM213,Pseudomonas sp. BD-313,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 169279; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM214,Pseudomonas prosekii BD-314,Pseudomonas,prosekii,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 169070; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM215,Pseudomonas haemolytica BD-315,Pseudomonas,haemolytica,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 168358; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM216,Pseudomonas endophytica BD-316,Pseudomonas,endophytica,0.95,BacDive-derived plant-associated strain table,False,endosphere,potato,unknown,GCF_001411475.1,extracted from bacdive dataset dsmz id 168177; formulation=seed dressing formulation candidate; matched_prodigal_genome=pseudomonas_endophytica__GCF_001411475.1; n_proteins=4702
PBM217,Pseudomonas coleopterorum BD-317,Pseudomonas,coleopterorum,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,tobacco,unknown,GCF_900105555.1,extracted from bacdive dataset dsmz id 168067; formulation=foliar spray formulation candidate; matched_prodigal_genome=pseudomonas_coleopterorum__GCF_900105555.1; n_proteins=4364
PBM218,Pseudomonas linyingensis BD-318,Pseudomonas,linyingensis,0.95,BacDive-derived plant-associated strain table,False,soil,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 168024; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM219,Pseudomonas cyclaminis BD-319,Pseudomonas,cyclaminis,0.95,BacDive-derived plant-associated strain table,False,soil,wheat,unknown,GCF_015163715.1,extracted from bacdive dataset dsmz id 167286; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_cyclaminis__GCF_015163715.1; n_proteins=6518
PBM220,Pseudomonas brassicae BD-320,Pseudomonas,brassicae,0.95,BacDive-derived plant-associated strain table,False,soil,tobacco,unknown,GCF_010671725.1,extracted from bacdive dataset dsmz id 167249; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_brassicae__GCF_010671725.1; n_proteins=6024
PBM221,Pseudomonas viciae BD-321,Pseudomonas,viciae,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 167123; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM222,Pseudomonas alvandae BD-322,Pseudomonas,alvandae,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,common_bean,unknown,GCF_019141525.1,extracted from bacdive dataset dsmz id 166864; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_alvandae__GCF_019141525.1; n_proteins=5585
PBM223,Pseudomonas palmensis BD-323,Pseudomonas,palmensis,0.95,BacDive-derived plant-associated strain table,False,soil,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 166816; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM224,Pseudomonas bijieensis BD-324,Pseudomonas,bijieensis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,common_bean,unknown,GCF_023330585.1,extracted from bacdive dataset dsmz id 166756; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_bijieensis__GCF_023330585.1; n_proteins=5871
PBM225,Pseudomonas allii BD-325,Pseudomonas,allii,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,tomato,unknown,GCF_055380095.1,extracted from bacdive dataset dsmz id 166666; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_allii__GCF_055380095.1; n_proteins=5930
PBM226,Pseudomonas sp. BD-326,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 173621; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM227,Pseudomonas nunensis BD-327,Pseudomonas,nunensis,0.95,BacDive-derived plant-associated strain table,False,soil,potato,unknown,not_matched,extracted from bacdive dataset dsmz id 170568; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM228,Pseudomonas oryzagri BD-328,Pseudomonas,oryzagri,0.95,BacDive-derived plant-associated strain table,False,soil,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 170043; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM229,Pseudomonas lijiangensis BD-329,Pseudomonas,lijiangensis,0.95,BacDive-derived plant-associated strain table,False,plant_associated,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 170042; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM230,Pseudomonas triticifolii BD-330,Pseudomonas,triticifolii,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 170028; formulation=foliar spray formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM231,Pseudomonas folii BD-331,Pseudomonas,folii,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,wheat,unknown,GCF_014357575.1,extracted from bacdive dataset dsmz id 170027; formulation=foliar spray formulation candidate; matched_prodigal_genome=pseudomonas_folii__GCF_014357575.1; n_proteins=5453
PBM232,Pseudomonas sp. BD-332,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176547; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM233,Pseudomonas sp. BD-333,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176546; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM234,Pseudomonas sp. BD-334,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176545; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM235,Pseudomonas sp. BD-335,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176544; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM236,Pseudomonas sp. BD-336,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176543; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM237,Pseudomonas sp. BD-337,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176542; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM238,Pseudomonas sp. BD-338,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176541; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM239,Pseudomonas sp. BD-339,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176540; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM240,Pseudomonas sp. BD-340,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176539; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM241,Pseudomonas sp. BD-341,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176538; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM242,Pseudomonas sp. BD-342,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176537; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM243,Pseudomonas sp. BD-343,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176536; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM244,Pseudomonas fontis BD-344,Pseudomonas,fontis,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,GCF_028656975.1,extracted from bacdive dataset dsmz id 176002; formulation=universal bioinoculant candidate; matched_prodigal_genome=pseudomonas_fontis__GCF_028656975.1; n_proteins=5394
PBM245,Pseudomonas aphyarum BD-345,Pseudomonas,aphyarum,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,GCF_028657055.1,extracted from bacdive dataset dsmz id 176000; formulation=universal bioinoculant candidate; matched_prodigal_genome=pseudomonas_aphyarum__GCF_028657055.1; n_proteins=5669
PBM246,Pseudomonas serboccidentalis BD-346,Pseudomonas,serboccidentalis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 175993; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM247,Pseudomonas serbica BD-347,Pseudomonas,serbica,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 175992; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM248,Pseudomonas beijingensis BD-348,Pseudomonas,beijingensis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,GCF_030687875.1,extracted from bacdive dataset dsmz id 175988; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_beijingensis__GCF_030687875.1; n_proteins=5665
PBM249,Pseudomonas pergaminensis BD-349,Pseudomonas,pergaminensis,0.95,BacDive-derived plant-associated strain table,False,soil,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 174705; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM250,Pseudomonas brassicacearum BD-350,Pseudomonas,brassicacearum,0.95,BacDive-derived plant-associated strain table,False,soil,wheat,unknown,GCF_008370715.1,extracted from bacdive dataset dsmz id 176791; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_brassicacearum__GCF_008370715.1; n_proteins=5918
PBM251,Pseudomonas sp. BD-351,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176554; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM252,Pseudomonas sp. BD-352,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176553; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM253,Pseudomonas sp. BD-353,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176552; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM254,Pseudomonas sp. BD-354,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 176551; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM255,Bacillus pumilus BD-355,Bacillus,pumilus,0.95,BacDive-derived plant-associated strain table,True,soil,soybean,unknown,GCF_000017885.4,extracted from bacdive dataset dsmz id 752; formulation=soil drench or in-furrow application; matched_prodigal_genome=bacillus_pumilus__GCF_000017885.4; n_proteins=3695
PBM256,Bacillus mycoides BD-356,Bacillus,mycoides,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,rice,unknown,GCF_018739485.1,extracted from bacdive dataset dsmz id 745; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_mycoides__GCF_018739485.1; n_proteins=5628
PBM257,Bacillus licheniformis BD-357,Bacillus,licheniformis,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,wheat,unknown,GCF_034478925.1,extracted from bacdive dataset dsmz id 689; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_licheniformis__GCF_034478925.1; n_proteins=4291
PBM258,Bacillus coagulans BD-358,Bacillus,coagulans,0.95,BacDive-derived plant-associated strain table,True,soil,tomato,unknown,GCF_000832905.1,extracted from bacdive dataset dsmz id 654; formulation=soil drench or in-furrow application; matched_prodigal_genome=bacillus_coagulans__GCF_000832905.1; n_proteins=3356
PBM259,Bacillus coagulans BD-359,Bacillus,coagulans,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,wheat,unknown,GCF_000832905.1,extracted from bacdive dataset dsmz id 650; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_coagulans__GCF_000832905.1; n_proteins=3356
PBM260,Bacillus coagulans BD-360,Bacillus,coagulans,0.95,BacDive-derived plant-associated strain table,True,plant_associated,tomato,unknown,GCF_000832905.1,extracted from bacdive dataset dsmz id 649; formulation=universal bioinoculant candidate; matched_prodigal_genome=bacillus_coagulans__GCF_000832905.1; n_proteins=3356
PBM261,Bacillus circulans BD-361,Bacillus,circulans,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,wheat,unknown,GCF_013267435.1,extracted from bacdive dataset dsmz id 642; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_circulans__GCF_013267435.1; n_proteins=5000
PBM262,Bacillus cereus BD-362,Bacillus,cereus,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,wheat,unknown,GCF_006094295.1,extracted from bacdive dataset dsmz id 628; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_cereus__GCF_006094295.1; n_proteins=5434
PBM263,Bacillus cereus BD-363,Bacillus,cereus,0.95,BacDive-derived plant-associated strain table,True,soil,soybean,unknown,GCF_006094295.1,extracted from bacdive dataset dsmz id 626; formulation=soil drench or in-furrow application; matched_prodigal_genome=bacillus_cereus__GCF_006094295.1; n_proteins=5434
PBM264,Bacillus cereus BD-364,Bacillus,cereus,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,soybean,unknown,GCF_006094295.1,extracted from bacdive dataset dsmz id 625; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_cereus__GCF_006094295.1; n_proteins=5434
PBM265,Bacillus cereus BD-365,Bacillus,cereus,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,wheat,unknown,GCF_006094295.1,extracted from bacdive dataset dsmz id 624; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_cereus__GCF_006094295.1; n_proteins=5434
PBM266,Bacillus cereus BD-366,Bacillus,cereus,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,wheat,unknown,GCF_006094295.1,extracted from bacdive dataset dsmz id 623; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_cereus__GCF_006094295.1; n_proteins=5434
PBM267,Bacillus cereus BD-367,Bacillus,cereus,0.95,BacDive-derived plant-associated strain table,True,soil,rice,unknown,GCF_006094295.1,extracted from bacdive dataset dsmz id 621; formulation=soil drench or in-furrow application; matched_prodigal_genome=bacillus_cereus__GCF_006094295.1; n_proteins=5434
PBM268,Bacillus cereus BD-368,Bacillus,cereus,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,wheat,unknown,GCF_006094295.1,extracted from bacdive dataset dsmz id 605; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_cereus__GCF_006094295.1; n_proteins=5434
PBM269,Bacillus amyloliquefaciens BD-369,Bacillus,amyloliquefaciens,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,wheat,unknown,GCF_019396925.1,extracted from bacdive dataset dsmz id 598; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_amyloliquefaciens__GCF_019396925.1; n_proteins=4063
PBM270,Bacillus smithii BD-370,Bacillus,smithii,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,soybean,unknown,GCF_001050115.1,extracted from bacdive dataset dsmz id 815; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_smithii__GCF_001050115.1; n_proteins=3172
PBM271,Bacillus pumilus BD-371,Bacillus,pumilus,0.95,BacDive-derived plant-associated strain table,True,plant_associated,soybean,unknown,GCF_000017885.4,extracted from bacdive dataset dsmz id 757; formulation=universal bioinoculant candidate; matched_prodigal_genome=bacillus_pumilus__GCF_000017885.4; n_proteins=3695
PBM272,Bacillus pumilus BD-372,Bacillus,pumilus,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,wheat,unknown,GCF_000017885.4,extracted from bacdive dataset dsmz id 756; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_pumilus__GCF_000017885.4; n_proteins=3695
PBM273,Bacillus pumilus BD-373,Bacillus,pumilus,0.95,BacDive-derived plant-associated strain table,True,endosphere,tobacco,unknown,GCF_000017885.4,extracted from bacdive dataset dsmz id 754; formulation=seed dressing formulation candidate; matched_prodigal_genome=bacillus_pumilus__GCF_000017885.4; n_proteins=3695
PBM274,Bacillus subtilis BD-374,Bacillus,subtilis,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,potato,unknown,GCF_000009045.1,extracted from bacdive dataset dsmz id 979; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_subtilis__GCF_000009045.1; n_proteins=4226
PBM275,Bacillus subtilis BD-375,Bacillus,subtilis,0.95,BacDive-derived plant-associated strain table,True,endosphere,tobacco,unknown,GCF_000009045.1,extracted from bacdive dataset dsmz id 976; formulation=seed dressing formulation candidate; matched_prodigal_genome=bacillus_subtilis__GCF_000009045.1; n_proteins=4226
PBM276,Bacillus subtilis BD-376,Bacillus,subtilis,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,barley,unknown,GCF_000009045.1,extracted from bacdive dataset dsmz id 967; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_subtilis__GCF_000009045.1; n_proteins=4226
PBM277,Bacillus subtilis BD-377,Bacillus,subtilis,0.95,BacDive-derived plant-associated strain table,True,soil,soybean,unknown,GCF_000009045.1,extracted from bacdive dataset dsmz id 966; formulation=soil drench or in-furrow application; matched_prodigal_genome=bacillus_subtilis__GCF_000009045.1; n_proteins=4226
PBM278,Bacillus subtilis BD-378,Bacillus,subtilis,0.95,BacDive-derived plant-associated strain table,True,soil,soybean,unknown,GCF_000009045.1,extracted from bacdive dataset dsmz id 965; formulation=soil drench or in-furrow application; matched_prodigal_genome=bacillus_subtilis__GCF_000009045.1; n_proteins=4226
PBM279,Bacillus subtilis BD-379,Bacillus,subtilis,0.95,BacDive-derived plant-associated strain table,True,soil,pea,unknown,GCF_000009045.1,extracted from bacdive dataset dsmz id 964; formulation=soil drench or in-furrow application; matched_prodigal_genome=bacillus_subtilis__GCF_000009045.1; n_proteins=4226
PBM280,Bacillus halotolerans BD-380,Bacillus,halotolerans,0.95,BacDive-derived plant-associated strain table,True,endosphere,tomato,unknown,GCF_004006435.1,extracted from bacdive dataset dsmz id 1095; formulation=seed dressing formulation candidate; matched_prodigal_genome=bacillus_halotolerans__GCF_004006435.1; n_proteins=4130
PBM281,Bacillus mojavensis BD-381,Bacillus,mojavensis,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,pea,unknown,GCF_012648005.1,extracted from bacdive dataset dsmz id 1093; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_mojavensis__GCF_012648005.1; n_proteins=4045
PBM282,Bacillus atrophaeus BD-382,Bacillus,atrophaeus,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,wheat,unknown,GCF_039519175.1,extracted from bacdive dataset dsmz id 1077; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_atrophaeus__GCF_039519175.1; n_proteins=4168
PBM283,Bacillus benzoevorans BD-383,Bacillus,benzoevorans,0.95,BacDive-derived plant-associated strain table,True,soil,soybean,unknown,GCF_014207535.1,extracted from bacdive dataset dsmz id 1071; formulation=soil drench or in-furrow application; matched_prodigal_genome=bacillus_benzoevorans__GCF_014207535.1; n_proteins=4549
PBM284,Bacillus benzoevorans BD-384,Bacillus,benzoevorans,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,rice,unknown,GCF_014207535.1,extracted from bacdive dataset dsmz id 1069; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_benzoevorans__GCF_014207535.1; n_proteins=4549
PBM285,Bacillus thuringiensis BD-385,Bacillus,thuringiensis,0.95,BacDive-derived plant-associated strain table,True,soil,barley,unknown,GCF_000161615.1,extracted from bacdive dataset dsmz id 1045; formulation=soil drench or in-furrow application; matched_prodigal_genome=bacillus_thuringiensis__GCF_000161615.1; n_proteins=6366
PBM286,Bacillus thuringiensis BD-386,Bacillus,thuringiensis,0.95,BacDive-derived plant-associated strain table,True,soil,soybean,unknown,GCF_000161615.1,extracted from bacdive dataset dsmz id 1012; formulation=soil drench or in-furrow application; matched_prodigal_genome=bacillus_thuringiensis__GCF_000161615.1; n_proteins=6366
PBM287,Bacillus thuringiensis BD-387,Bacillus,thuringiensis,0.95,BacDive-derived plant-associated strain table,True,rhizosphere,barley,unknown,GCF_000161615.1,extracted from bacdive dataset dsmz id 1006; formulation=liquid or peat carrier for root application; matched_prodigal_genome=bacillus_thuringiensis__GCF_000161615.1; n_proteins=6366
